hotel_name,hotel_area,hotel_rating,hotel_price,num_review,hotel_url
The Oxford by Kasa,Downtown Seattle,Very Good,$116,(148 reviews),/Seattle-Hotels-The-Oxford-Seattle-Downtown.h57698380.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897593&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=100&top_cur=USD&semdtl=&userIntent=&selectedRoomType=226205294&selectedRatePlan=248310586
The Westin Seattle,Belltown,Very Good,$147,"(1,166 reviews)",/Seattle-Hotels-The-Westin-Seattle.h16673.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897592&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=125&top_cur=USD&semdtl=&userIntent=&selectedRoomType=210303512&selectedRatePlan=222246218
Graduate Seattle,University District,Very Good,$161,(717 reviews),/Seattle-Hotels-Graduate-Seattle.h19023.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897590&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6054612&sort=RECOMMENDED&top_dp=139&top_cur=USD&semdtl=&userIntent=&selectedRoomType=211803384&selectedRatePlan=382763242
"Staypineapple, Hotel FIVE, Downtown Seattle",Belltown,Excellent,$171,"(1,076 reviews)",/Seattle-Hotels-Staypineapple.h11969.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897594&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=122&top_cur=USD&semdtl=&userIntent=&selectedRoomType=201237141&selectedRatePlan=205886363
Hampton Inn & Suites Seattle-Downtown,Seattle,Very Good,$110,"(1,003 reviews)",/Seattle-Hotels-Hampton-Inn-Suites-Seattle-Downtown.h41106.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897587&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976008537&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&userIntent=&selectedRoomType=281833&selectedRatePlan=232026068
The Inn at Virginia Mason,Downtown Seattle,Good,$140,"(1,002 reviews)",/Seattle-Hotels-The-Inn-At-Virginia-Mason.h2635458.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897589&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=119&top_cur=USD&semdtl=&userIntent=&selectedRoomType=200305057&selectedRatePlan=201841095
The Moore Hotel,Belltown,Good,$180,(790 reviews),/Seattle-Hotels-The-Moore-Hotel.h1585072.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897591&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=154&top_cur=USD&semdtl=&userIntent=&selectedRoomType=215734114&selectedRatePlan=258208670
The State Hotel,Downtown Seattle,Wonderful,$242,(720 reviews),/Seattle-Hotels-The-State-Hotel.h27380703.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897588&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=188&top_cur=USD&semdtl=&userIntent=&selectedRoomType=221131563&selectedRatePlan=294129525
Pan Pacific Seattle,Belltown,Wonderful,$243,"(1,001 reviews)",/Seattle-Hotels-Pan-Pacific-Seattle.h1509734.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897591&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=6237231&sort=RECOMMENDED&top_dp=195&top_cur=USD&semdtl=&userIntent=&selectedRoomType=130329&selectedRatePlan=211257713
Renaissance Seattle Hotel,Downtown Seattle,Excellent,$128,"(1,004 reviews)",/Seattle-Hotels-Renaissance-Seattle-Hotel.h14405.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897589&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&neighborhoodId=800130&sort=RECOMMENDED&top_dp=109&top_cur=USD&semdtl=&userIntent=&selectedRoomType=214200434&selectedRatePlan=248291609
Red Roof Inn Seattle Airport - SEATAC,SeaTac,Good,$76,"(2,497 reviews)",/Seattle-Hotels-Red-Roof-Inn-Seattle-Airport-SEATAC.h14917.Hotel-Information?chkin=2022-02-13&chkout=2022-02-14&x_pwa=1&rfrr=HSR&pwa_ts=1643627897595&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=178307&destination=Seattle+%28and+vicinity%29%2C+Washington%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=66&top_cur=USD&semdtl=&userIntent=&selectedRoomType=200198046&selectedRatePlan=382797970
