video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HamRpfEdiIE,/channel/UCPbyIYGQv3BQebWiC9mKOBA,Climate change,"NATURAL DISASTERS from 26 - 29 January 2022 сlimate changе! flood, volcano eruption",18K,18K views,,2022-01-31 12:57:14.486433
/watch?v=yiw6_JakZFc,/c/inanutshell,Kurzgesagt – In a Nutshell,Can YOU Fix Climate Change?,9.8M,9.8M views,,2022-01-31 12:57:14.491933
/watch?v=wCIeAqusDuk,/channel/UCwzP0IAKZkvjKyd00IhHMgQ,Science,2 Degrees Till The End. Global Warming Documentary,137K,137K views,,2022-01-31 12:57:14.502091
/watch?v=ffCcpr4i1cw,/channel/UCzkgWnYL4NFl7MOsaHNhs5g,Jordan Peterson Notes,Jordan Peterson Criticizes Climate Change Types,71K,71K views,,2022-01-31 12:57:14.505640
/watch?v=uynhvHZUOOo,/c/TheEconomist,The Economist,See what three degrees of global warming looks like | The Economist,1.4M,1.4M views,,2022-01-31 12:57:14.514774
/watch?v=4Fj5S9ZaUvY,/channel/UCmYIFD1D1pixdfBbJV-BCIQ,Abhisek Kishor,Why we are going to LOSE the fight against Climate change | You'll be surprised,1.6K,1.6K views,,2022-01-31 12:57:14.521805
/watch?v=febBRv2Vftk,/c/bbcearth,BBC Earth,The Tipping Point | Climate Change: The Facts | BBC Earth,144K,144K views,,2022-01-31 12:57:14.533329
/watch?v=82ZowcC1l_I,/c/PBSNewsHour,PBS NewsHour,"Rising temperatures, dying cattle: Iraq is reeling from climate change",25K,25K views,,2022-01-31 12:57:20.397928
/watch?v=EtW2rrLHs08,/c/NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.3M,2.3M views,,2022-01-31 12:57:20.403969
/watch?v=dIsjcG7hTmo,/c/bbcearth,BBC Earth,When The World Gets 1℃ Hotter | Climate Change: The Facts | BBC Earth,189K,189K views,,2022-01-31 12:57:20.411085
/watch?v=aq141ADRDoE,/c/OurChangingClimate,Our Changing Climate,Why America Will Never Be A Climate Leader,32K,32K views,,2022-01-31 12:57:20.417968
/watch?v=tlWuP7wESZw,/c/TED,TED,Ilissa Ocko: The fastest way to slow climate change now | TED Countdown,114K,114K views,,2022-01-31 12:57:20.432453
/watch?v=_0YFBsIVhY4,/channel/UCPbyIYGQv3BQebWiC9mKOBA,Climate change,"NATURAL DISASTERS | January 18-26, 2022. Eyewitnesses. Climate change. Breaking news",2.6K,2.6K views,,2022-01-31 12:57:20.437727
/watch?v=asxnB7ogCII,/c/CBSMornings,CBS Mornings,"Fifteen years after ""An Inconvenient Truth"" documentary, Al Gore speaks about climate change",66K,66K views,,2022-01-31 12:57:20.443745
